ID,品牌,类型,型号,售价(元),京东价(元),峻峰华亭进价(元)
5298b989098e716daf000ee3,马勒 Mahle,空气滤清器,LX 1680,0.0,39.0,18.0
5298b98a098e716daf000f2f,马勒 Mahle,空气滤清器,LX 1721,0.0,39.0,16.0
5298b973098e716daf00092f,马勒 Mahle,空气滤清器,LX2716,0.0,39.0,0.0
528224e37ef560db54000146,马勒 Mahle,空气滤清器,LX1679,31.0,29.0,19.0
5298b98d098e716daf000fd9,马勒 Mahle,空气滤清器,LX 1876,0.0,36.0,20.0
5298b98a098e716daf000f33,马勒 Mahle,空气滤清器,LX 708,0.0,65.0,0.0
5298b999098e716daf0012d1,马勒 Mahle,空气滤清器,LX 2622,0.0,37.0,0.0
5298b972098e716daf0008eb,马勒 Mahle,空气滤清器,LX1897,0.0,44.8,30.0
5298b98b098e716daf000f6f,马勒 Mahle,空气滤清器,LX 2824,0.0,75.0,26.0
5298b98d098e716daf000ff5,马勒 Mahle,空气滤清器,LX 1678,0.0,39.0,0.0
5298b974098e716daf00095b,马勒 Mahle,空气滤清器,LX3184,0.0,45.0,0.0
5298b98b098e716daf000f6b,马勒 Mahle,空气滤清器,LX 1639,0.0,49.0,22.0
5298b98b098e716daf000f95,马勒 Mahle,空气滤清器,LX 2628,0.0,28.0,14.0
5298b974098e716daf000947,马勒 Mahle,空气滤清器,LX2829,0.0,56.0,0.0
5298b989098e716daf000ef7,马勒 Mahle,空气滤清器,LX 1722,0.0,34.0,0.0
528221077ef560db54000110,马勒 Mahle,空气滤清器,LX2521,40.0,39.0,27.0
5298b989098e716daf000f0f,马勒 Mahle,空气滤清器,LX 1682,0.0,39.0,0.0
5298b973098e716daf000933,马勒 Mahle,空气滤清器,LX2717,0.0,29.0,0.0
5282261e7ef560db54000158,马勒 Mahle,空气滤清器,LX1701,30.0,29.0,18.0
5298b972098e716daf0008fb,马勒 Mahle,空气滤清器,LX1977,0.0,36.0,0.0
5298b989098e716daf000f17,马勒 Mahle,空气滤清器,LX 1900,0.0,36.0,0.0
528220ec7ef560db5400010d,马勒 Mahle,空气滤清器,LX2523,33.0,33.0,25.0
5298b989098e716daf000efb,马勒 Mahle,空气滤清器,LX 1723,0.0,36.0,19.0
5298b972098e716daf0008e5,马勒 Mahle,空气滤清器,LX1785,0.0,29.0,0.0
528220d17ef560db5400010a,马勒 Mahle,空气滤清器,LX3437,53.0,53.0,20.0
52a89ae3098e71b2e500001b,马勒 Mahle,空气滤清器,LX1899，LX1566,0.0,0.0,0.0
528f3aca7ef560b041000b14,马勒 Mahle,空气滤清器,LX 793,0.0,130.0,0.0
528f3d177ef560b041000f0e,马勒 Mahle,空气滤清器,LX 819,0.0,83.0,44.0
5298b973098e716daf000905,马勒 Mahle,空气滤清器,LX2071,0.0,28.0,0.0
5298b98a098e716daf000f45,马勒 Mahle,空气滤清器,LX1253/FGAF0092,0.0,0.0,0.0
5298b98a098e716daf000f39,马勒 Mahle,空气滤清器,LX 1972,0.0,39.0,18.0
528224207ef560db54000137,马勒 Mahle,空气滤清器,LX2116,59.0,59.0,26.0
5298b989098e716daf000eeb,马勒 Mahle,空气滤清器,LX 1006/21,0.0,99.0,62.0
5298b973098e716daf000909,马勒 Mahle,空气滤清器,LX2113,0.0,38.0,0.0
5298b98a098e716daf000f61,马勒 Mahle,空气滤清器,LX 2626,0.0,39.0,24.0
5298b98c098e716daf000fa9,马勒 Mahle,空气滤清器,LX 2013,0.0,36.0,18.0
5298b989098e716daf000eff,马勒 Mahle,空气滤清器,LX3551,0.0,72.0,0.0
528224b57ef560db54000143,马勒 Mahle,空气滤清器,LX3202,63.0,49.0,35.0
5298b989098e716daf000ef3,马勒 Mahle,空气滤清器,LX 1681,0.0,28.0,20.0
5298b98e098e716daf001015,马勒 Mahle,空气滤清器,LX 2015,0.0,25.0,15.0
5298b989098e716daf000f03,马勒 Mahle,空气滤清器,LX3550,0.0,85.0,0.0
52897a8e7ef560aa1c000087,马勒 Mahle,空气滤清器,LX2012,37.0,30.0,24.0
5298b98a098e716daf000f55,马勒 Mahle,空气滤清器,LX 1976,0.0,33.0,19.0
5298b973098e716daf000919,马勒 Mahle,空气滤清器,LX2518,0.0,29.0,0.0
5298b98b098e716daf000f9d,马勒 Mahle,空气滤清器,LX 1718,0.0,45.0,0.0
5298b98c098e716daf000fb9,马勒 Mahle,空气滤清器,LX 2014,0.0,29.0,17.0
52821ed77ef560db540000ec,马勒 Mahle,空气滤清器,LX3029,39.0,39.0,26.0
5298b98b098e716daf000f7f,马勒 Mahle,空气滤清器,LX 2114,0.0,39.0,0.0
5298b98e098e716daf001021,马勒 Mahle,空气滤清器,LX 1784,0.0,24.0,13.0
5298b974098e716daf000951,马勒 Mahle,空气滤清器,LX2915,0.0,29.0,0.0
5298b974098e716daf000957,马勒 Mahle,空气滤清器,LX3183,0.0,34.7,0.0
5298b98c098e716daf000fc5,马勒 Mahle,空气滤清器,LX 2115,0.0,32.0,21.0
5298b974098e716daf000965,马勒 Mahle,空气滤清器,LX3315,0.0,40.0,0.0
5298b98c098e716daf000fa5,马勒 Mahle,空气滤清器,LX 2112,0.0,42.0,20.0
528220977ef560db54000104,马勒 Mahle,空气滤清器,LX2519,30.0,24.0,18.0
5298b989098e716daf000ee7,马勒 Mahle,空气滤清器,LX3312,0.0,65.0,0.0
5282204e7ef560db540000fe,马勒 Mahle,空气滤清器,LX2520,38.0,36.0,25.0
528225817ef560db54000150,马勒 Mahle,空气滤清器,LX1978,42.0,45.0,28.0
528223567ef560db54000128,马勒 Mahle,空气滤清器,LX2121,43.0,38.9,29.0
5298b972098e716daf0008f3,马勒 Mahle,空气滤清器,LX1974,0.0,33.0,0.0
5298b98a098e716daf000f5d,马勒 Mahle,空气滤清器,LX 1960,0.0,49.0,26.0
528223377ef560db54000125,马勒 Mahle,空气滤清器,LX2822,46.0,46.0,24.0
5298b973098e716daf000911,马勒 Mahle,空气滤清器,LX2119,0.0,49.0,0.0
528223157ef560db54000122,马勒 Mahle,空气滤清器,LX2914,39.0,39.0,23.0
528220b67ef560db54000107,马勒 Mahle,空气滤清器,LX2828,49.0,49.0,19.0
5282224d7ef560db54000119,马勒 Mahle,空气滤清器,LX2120,40.0,49.0,27.0
528222d07ef560db5400011c,马勒 Mahle,空气滤清器,LX2913,38.0,39.0,25.0
528222f37ef560db5400011f,马勒 Mahle,空气滤清器,LX2912,46.0,46.0,25.0
5298b98a098e716daf000f3f,马勒 Mahle,空气滤清器,LX 2118,0.0,43.0,26.0
528222137ef560db54000113,马勒 Mahle,空气滤清器,LX2117,38.0,39.0,25.0
5298b972098e716daf0008f7,马勒 Mahle,空气滤清器,LX1975,0.0,29.0,0.0
5298b987098e716daf000e7f,马勒 Mahle,空调滤清器,LA 507,0.0,39.0,24.0
5298b986098e716daf000e41,马勒 Mahle,空调滤清器,LAK 529,0.0,65.0,0.0
5298b986098e716daf000e49,马勒 Mahle,空调滤清器,LAK 525,0.0,79.0,42.0
5298b970098e716daf000897,马勒 Mahle,空调滤清器,LA529,0.0,49.0,0.0
5298b988098e716daf000e8f,马勒 Mahle,空调滤清器,LA 513,0.0,45.0,20.0
5298b96f098e716daf000889,马勒 Mahle,空调滤清器,LA516,0.0,49.0,0.0
5298b970098e716daf00089f,马勒 Mahle,空调滤清器,LA672,0.0,39.0,0.0
5298b987098e716daf000e83,马勒 Mahle,空调滤清器,FLA748T,0.0,0.0,37.0
5298b996098e716daf0011ff,马勒 Mahle,空调滤清器,LAK 748,0.0,70.0,0.0
5298b987098e716daf000e59,马勒 Mahle,空调滤清器,LAK 527,0.0,88.0,45.0
5298b987098e716daf000e51,马勒 Mahle,空调滤清器,LAK 528,0.0,96.0,0.0
52821f1a7ef560db540000f2,马勒 Mahle,空调滤清器,LA512,42.0,42.0,24.0
5298b985098e716daf000dfb,马勒 Mahle,空调滤清器,LA519T,0.0,0.0,24.0
5298b987098e716daf000e55,马勒 Mahle,空调滤清器,LAK 526,0.0,88.0,0.0
5298b998098e716daf001281,马勒 Mahle,空调滤清器,LAK 519,0.0,62.0,0.0
5281d3f87ef560db540000e3,马勒 Mahle,空调滤清器,LAK518,88.0,118.0,65.0
5298b972098e716daf0008d9,马勒 Mahle,空调滤清器,LAK621,0.0,59.0,0.0
5298b988098e716daf000eb9,马勒 Mahle,空调滤清器,LA 517,0.0,53.0,24.0
5298b986098e716daf000e27,马勒 Mahle,空调滤清器,LAK 522,0.0,70.0,0.0
5298b972098e716daf0008cd,马勒 Mahle,空调滤清器,LAK520,0.0,105.0,0.0
5298b970098e716daf0008b1,马勒 Mahle,空调滤清器,LA708,0.0,49.0,24.0
5298b96f098e716daf00087f,马勒 Mahle,空调滤清器,LA510,0.0,56.0,0.0
5298b985098e716daf000e07,马勒 Mahle,空调滤清器,LA 282,0.0,59.0,24.0
5298b987098e716daf000e6d,马勒 Mahle,空调滤清器,LA623T,0.0,0.0,27.0
5298b972098e716daf0008d5,马勒 Mahle,空调滤清器,LAK524,0.0,65.0,0.0
5298b986098e716daf000e39,马勒 Mahle,空调滤清器,LAK521T,0.0,0.0,0.0
5298b96f098e716daf000885,马勒 Mahle,空调滤清器,LA515,0.0,49.0,0.0
5298b970098e716daf000893,马勒 Mahle,空调滤清器,LA524,0.0,46.0,0.0
5298b970098e716daf00088d,马勒 Mahle,空调滤清器,LA521,0.0,56.0,0.0
5298b972098e716daf0008d1,马勒 Mahle,空调滤清器,LAK523,0.0,78.0,0.0
52821ea87ef560db540000e9,马勒 Mahle,空调滤清器,LA522,49.0,49.0,30.0
5298b987098e716daf000e65,马勒 Mahle,空调滤清器,LA866,0.0,60.0,25.0
528224937ef560db54000140,马勒 Mahle,空调滤清器,LA508T,48.0,0.0,28.0
